Id	Label	NodeType	Community_Lvl_0	Community_Lvl_1	Community_Lvl_2	Infered_Community_Name_Lvl_0	Infered_Community_Name_Lvl_1	Infered_Community_Name_Lvl_2
Corp. Global Account Manager__s	Corp. Global Account Manager	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
International Sales Manager FCI__s	International Sales Manager FCI	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
European Equity Analyst__s	European Equity Analyst	2.0	2	2.9	2.9.18	21___Science and engineering professionals	24___Business and administration professionals	24___Business and administration professionals
graphiste multimedia-formation__s	graphiste multimedia-formation	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
OH BDM__s	OH BDM	2.0	2	2.2	2.2.13	21___Science and engineering professionals	21___Science and engineering professionals	31___Science and engineering associate professionals
Head of the Department of Front Office__s	Head of the Department of Front Office	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Commercial director__s	Commercial director	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Technical Product Manager__s	Technical Product Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
GENERAL MGR__s	GENERAL MGR	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
SAP HR Analyst__s	SAP HR Analyst	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Resercher__s	Resercher	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Proudction engineer__s	Proudction engineer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
head of finance__s	head of finance	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Dryer__s	Dryer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
IT Solutions Architect__s	IT Solutions Architect	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Embedded System Engineer__s	Embedded System Engineer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Communication and Marketing projects Manager__s	Communication and Marketing projects Manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Financial Analyst__s	Financial Analyst	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
mechanical engineering manager__s	mechanical engineering manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
