Id	Label	NodeType	Community_Lvl_0	Community_Lvl_1	Community_Lvl_2	Infered_Community_Name_Lvl_0	Infered_Community_Name_Lvl_1	Infered_Community_Name_Lvl_2
Business Angel__s	Business Angel	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Drilling Engineering Trainee__s	Drilling Engineering Trainee	2.0	2	2.2	2.2.13	21___Science and engineering professionals	21___Science and engineering professionals	31___Science and engineering associate professionals
Head of Broadband Access operational engineering__s	Head of Broadband Access operational engineering	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Responsible for the integration 2015__s	Responsible for the integration 2015	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Contracts Engineer__s	Contracts Engineer	2.0	2	2.2	2.2.13	21___Science and engineering professionals	21___Science and engineering professionals	31___Science and engineering associate professionals
Engineer Student__s	Engineer Student	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
IT Infrastructure Specialist__s	IT Infrastructure Specialist	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
software engineering__s	software engineering	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
farm manager__s	farm manager	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Export__s	Export	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Middle Office__s	Middle Office	2.0	2	2.9	2.9.62	21___Science and engineering professionals	24___Business and administration professionals	33___Business and administration associate professionals
LIMS developer and project manager__s	LIMS developer and project manager	2.0	6	6.6	6.6.15	33___Business and administration associate professionals	33___Business and administration associate professionals	33___Business and administration associate professionals
Public Sector Consultant__s	Public Sector Consultant	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Integrated Marketing Manager__s	Integrated Marketing Manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Audio Visual Manager__s	Audio Visual Manager	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
AS__s	AS	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Gallery assistant__s	Gallery assistant	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
3d generalist__s	3d generalist	2.0	4	4.4	4.4.26	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
purchase intern__s	purchase intern	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Technical teacher__s	Technical teacher	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Technical Development Manager Industry France__s	Technical Development Manager Industry France	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Advanced Customer Solution Manager__s	Advanced Customer Solution Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Supply Chain and Purchasing Manager__s	Supply Chain and Purchasing Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Expert in Companies Business Development__s	Expert in Companies Business Development	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
senior scientist__s	senior scientist	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Executive Admin Assistant__s	Executive Admin Assistant	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
engineering and maint senior safety manager__s	engineering and maint senior safety manager	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Marketing Achat Rechange Auto__s	Marketing Achat Rechange Auto	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Just working for Parrot__s	Just working for Parrot	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Director of Marketing and Development__s	Director of Marketing and Development	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Merchandise Manager__s	Merchandise Manager	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
CCO (Chief Commercial Officer)__s	CCO (Chief Commercial Officer)	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Head of Project__s	Head of Project	2.0	4	4.4	4.4.5	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Senior Manager Immobilier__s	Senior Manager Immobilier	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Heating system BU manager__s	Heating system BU manager	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Lean IT__s	Lean IT	2.0	0	0.0	0.0.27	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Field Application Engineer Specialist__s	Field Application Engineer Specialist	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Commissioning supervisor__s	Commissioning supervisor	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
psychotherapeute tabacologue__s	psychotherapeute tabacologue	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
majority shareholder__s	majority shareholder	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Market Analyst EMEA__s	Market Analyst EMEA	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
regional director__s	regional director	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Minister counselor for Health at the Libyan Mission__s	Minister counselor for Health at the Libyan Mission	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Senior solution architect__s	Senior solution architect	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Assistant commercial et marketing__s	Assistant commercial et marketing	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
atci__s	atci	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
work-conseil.audomicile.com__s	work-conseil.audomicile.com	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Sales Manager__s	Sales Manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Master internship__s	Master internship	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Recording Studio__s	Recording Studio	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Customers Services Manager__s	Customers Services Manager	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
IS Infrastructure Manager__s	IS Infrastructure Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Contributing Writer__s	Contributing Writer	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
IT Security Consultant__s	IT Security Consultant	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Hotel Staff__s	Hotel Staff	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Research Intern__s	Research Intern	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Avionics Lead Technician__s	Avionics Lead Technician	2.0	2	2.2	2.2.23	21___Science and engineering professionals	21___Science and engineering professionals	31___Science and engineering associate professionals
Specialist physician in Allergology and Immunology cilnique__s	Specialist physician in Allergology and Immunology cilnique	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Technicien methodes__s	Technicien methodes	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Senior Financial Contract Analyst__s	Senior Financial Contract Analyst	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
lead transit coordinator__s	lead transit coordinator	2.0	2	2.2	2.2.13	21___Science and engineering professionals	21___Science and engineering professionals	31___Science and engineering associate professionals
Translator (French to English)__s	Translator (French to English)	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Facilitator__s	Facilitator	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
HQ Pharmacovigilance Officer__s	HQ Pharmacovigilance Officer	2.0	6	6.6	6.6.15	33___Business and administration associate professionals	33___Business and administration associate professionals	33___Business and administration associate professionals
Public affairs and Corporate communications Consultant__s	Public affairs and Corporate communications Consultant	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
VP Human Resources__s	VP Human Resources	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Assistant Professor HDR__s	Assistant Professor HDR	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Senior Toolpusher__s	Senior Toolpusher	2.0	2	2.2	2.2.13	21___Science and engineering professionals	21___Science and engineering professionals	31___Science and engineering associate professionals
Mostly retired!__s	Mostly retired!	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Senior Director Of Operations__s	Senior Director Of Operations	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Field Service and after sale specialist__s	Field Service and after sale specialist	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Founder and CTO__s	Founder and CTO	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
PA to VP Indirect Purchasing__s	PA to VP Indirect Purchasing	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Design Studio Creative Manager__s	Design Studio Creative Manager	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Freelance Photographer and Digital retoucher__s	Freelance Photographer and Digital retoucher	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Webmaster trilingue__s	Webmaster trilingue	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
School__s	School	2.0	4	4.4	4.4.28	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Head of Purchase and Supply chain__s	Head of Purchase and Supply chain	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
International Group Marketing Manager__s	International Group Marketing Manager	2.0	6	6.6	6.6.11	33___Business and administration associate professionals	33___Business and administration associate professionals	33___Business and administration associate professionals
VIGNERON__s	VIGNERON	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Purchasing Project Manager__s	Purchasing Project Manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
SENIOR ACCOUNT MANAGER__s	SENIOR ACCOUNT MANAGER	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Marketing manager__s	Marketing manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
helicopter pilot S76__s	helicopter pilot S76	2.0	2	2.2	2.2.23	21___Science and engineering professionals	21___Science and engineering professionals	31___Science and engineering associate professionals
Graphist__s	Graphist	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
IS Traceability manufacturing leader__s	IS Traceability manufacturing leader	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
customer service team leader__s	customer service team leader	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Apprentice IT Project Officer__s	Apprentice IT Project Officer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Head of Portfolio Management Department__s	Head of Portfolio Management Department	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
AMO HQE__s	AMO HQE	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Production Engineering__s	Production Engineering	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Component Engineer__s	Component Engineer	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Aircraft Handling Agent__s	Aircraft Handling Agent	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
General Manager (owner)__s	General Manager (owner)	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Senior Product Marketing Manager__s	Senior Product Marketing Manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
.Net Asp Web and Powerbuider Developer__s	.Net Asp Web and Powerbuider Developer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
cad leader group__s	cad leader group	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Assistant to the CEO__s	Assistant to the CEO	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
